User,Username,User Description,Followers Count,Friends Count,Time,Tweet,Location,Retweeted Tweet,Retweet Count,Fav Count
HURRICANEPAUL,HURRICANEPAUL,65 year old 'local haole' Surf Bum & Visionary - born & raised in Hawaii -- ^^^ That's me surfing Waikiki 6 yrs. ago when I was 59,601,218,Mon Dec 12 03:13:33 +0000 2016,".@chelseahandler You believed the #FakeNews from @HuffingtonPost that said ""Hillary's chances of winning is 98% to Trump's 2%""

LOL

#Stupid",Kailua Hawaii,No,0,0
SharingTheNewsand,My2cents17,,110,162,Mon Dec 12 03:13:33 +0000 2016,"RT @nia4_trump: #FridayFeeling Hillary emerged 3 times since her crushing defeat, always wearing purple, the color of Rebellion &amp; Power.  V",,Yes,381,0
Lin Bennett,LinBennett,"Representative, SCHouse 114, Christian, Wife, Mother, Grandmother, past CCGOP Chair, Past SCGOP 1st Vice Chair",2438,2229,Mon Dec 12 03:13:33 +0000 2016,"RT @FoxNews: .@AllenWest: ""It was President Obama, along with Hillary Clinton, that came up with the 'Russian reset button.'"" @JudgeJeanine","Charleston, SC ",Yes,475,0
Ginger Joy,GingerJoy98,"Policywonk, former Hill staffer, frustrated American voter. Seeking decency and respect in civic life. No, this is not a porn account. Yes, I do have red hair.",36,192,Mon Dec 12 03:13:32 +0000 2016,The crazies are running the country. Where are the Dems on Russia hacking?  They need to Benghazi the Republicans l https://t.co/XfzJcpO3aR,"Washington, DC",No,0,0
Tia Mays,tlalmays,"Zeta Phi Beta Sorority Inc., Mother, Doing All Things Through Christ",23,1261,Mon Dec 12 03:13:32 +0000 2016,"RT @Lrihendry: If Russia is the enemy, why didn't anyone look into why Hillary sold 20% of our uranium to them! #FakeNewsChallenge @realDon","Des Moines, IA",Yes,1510,0
Val Farrelly ,valfarly,"Writer / Producer / Digital Content Maven.
Recovering news & social media junkie. Tweets on: TV, movies, news, politics, culture & football. Real Irish-American",2078,4997,Mon Dec 12 03:13:32 +0000 2016,"RT @ericgarland: Hillary, for her part, gives a brief and all-too-calm speech and goes hiking. 

Probably the best move on the board.","San Francisco, CA",Yes,191,0
Brother Eddy,BrotherEddy,Exposing the hypocrisy of MSM and elites.,30,70,Mon Dec 12 03:13:32 +0000 2016,@CNN how is Hillary not #1 Hero to CNN?,Earth,No,0,0
Carolina Brenna,carolina_brenna,Part-Time Administrative Assistant @ Saint Mary's Center,1154,2367,Mon Dec 12 03:13:32 +0000 2016,"RT @phil200269: What if the election hadn't been hacked?

What if Hillary hadn't stole the nomination?

What if Obama hadn't given rise to","Berlin,NJ",Yes,53,0
Not Your Llama,Llama_Chameleon,"Queer, intersectional feminist. #BlackLivesMatter",470,422,Mon Dec 12 03:13:31 +0000 2016,RT @bruce_arthur: Fun: imagine Hillary was elected with Russian help and gave donors cabinet posts and kept the Clinton Foundation and went,The Resistance,Yes,10244,0
MAGA Nancy ,LVNancy,I am  #Assyrian an American #Patriot #ProLife #2A Election2016 our FINAL chance #MAGA  Putting me on a List = Blocked,19682,4025,Mon Dec 12 03:13:31 +0000 2016,RT @LeahR77: Tweedle Dee &amp; Tweedle Dumb @SenJohnMcCain  &amp; @LindseyGrahamSC Should Be Investigating Hillary's Home Brewed Server #FakeNews #, #WeAreN   ,Yes,319,0
wholesomefamilyfun,wit_or_whatever,a girl can never truly love a man who listens to Phil Collins,339,1074,Mon Dec 12 03:13:31 +0000 2016,RT @kashanacauley: It's a shame Hillary didn't connect with white Russian working class voters.,,Yes,1879,0
smlyc,smlyc,That's unfortunate. Conference!,133,235,Mon Dec 12 03:13:30 +0000 2016,"RT @ericgarland: I'm from Vermont and have known Bernie forever, so I'm very surprised, but everyone kinda likes it. 

Hillary wins anyhow.","NYC, or elsewhere",Yes,58,0
Kevin,Inked1BNA,"Philly boy stuck in the deep south. X USNavy MassCommunicationsOfficer, #UnitedBue Titans, Predators Eagle's Flyers HUGE  @FrankWychek1 the biggest !",1710,2219,Mon Dec 12 03:13:30 +0000 2016,RT @Im_ConnorKelley: @realDonaldTrump @FoxNews Hillary won by 2.83 million votes,,Yes,33,0
Jonathan Jewel,jonathanjewel,Liberal fighting Trump tyranny via Twitter & protests / Header photo dark until Trump out of office,9897,9313,Mon Dec 12 03:13:30 +0000 2016,"RT @TheBaxterBean: REMINDER: Hillary Clinton lost Michigan by only 10,704 votes. Detroit has 513,000 registered voters &amp; turnout declined (",,Yes,98,0
JmyNAMEisJILL,JmyNAMEisJILL,Proud to have Donald J.Trump as my next president. Optimistic about changes in this country and in this world. #MAGA,2360,3050,Mon Dec 12 03:13:30 +0000 2016,"@JoelNihlean @danfelix82 @justinhendrix @realDonaldTrump 
This all could have been avoided if Hillary would have been honest about Benghazi.",Real Life,No,0,0
Dia de los Tacos,EpilepticHorse,Just your run of the mill simian trying to carve out an existence for himself. Vent: @gorillawarfar3s,94,383,Mon Dec 12 03:13:30 +0000 2016,@NotWesleyWelker @blamemarktjan @PicardTips no the EC is not democratic. T\he people already voted and hillary came out ahead,"Chico, CA",No,0,0
