User,Username,User Description,Followers Count,Friends Count,Time,Tweet,Location,Retweeted Tweet,Retweet Count,Fav Count
Carlathedeplorable,SteuerCarla,Keep your hands off our Constitution. I am digging the Trump. Support music! Gardening is the best! In search of octopus. #MAGA #DrainTheSwamp,3138,3143,Tue Nov 08 23:59:59 +0000 2016,#Virginia Let vote #TrumpPence16 #Hillary is to high risk.,,No,0,1
eXtRaSaLtY,_bigpharma,Future survivor of a future depressive episode [  ] Now in a Gluten and Gender-Free option [  ] Virgo Sun-Libra Moon-Leo Asc. #ALLBLACKLIVESMATTER #NoDAPL,170,276,Tue Nov 08 23:59:59 +0000 2016,"RT @RicheyCollazo: white women: Hillary Clintons win is a win for women!

me: WHICH WOMEN?  https://t.co/FONDX957Gy",agender | they/them,Yes,114,0
bri,br1xanna,,123,125,Tue Nov 08 23:59:59 +0000 2016,RT @BandzUpDee: Vote Hillary Clinton idc if she a liar y'all boyfriends lie to y'all everyday and y'all still fw them so VOTE HILLARY BITCH,"forever and always, The Bay",Yes,45672,0
gwen,gelegwen,toronto,1123,1494,Tue Nov 08 23:59:59 +0000 2016,RT @HillaryClinton: Everything weve worked toward comes down to today. RT this if you're voting for Hillary: https://t.co/jfd3CXLD1s https,,Yes,65302,0
luka ,Larkell_,keep it real,238,703,Tue Nov 08 23:59:59 +0000 2016,"RT @jacksfilms: ""If I win, I'm throwing you in jail!"" bellows Trump
""Why?"" blushes Hillary
""Because you're so sexy it's illegal""
He then gr",UK,Yes,5051,0
Fred Bauer,fredbauerblog,"Getting whiggy wit it.  Writer from New England. At National Review, Weekly Standard, Daily Caller, etc.  Contact: fredbauerblog at gmail dot com",1726,2690,Tue Nov 08 23:59:59 +0000 2016,"Before the deluge of results, I'll reiterate this: Our republic will survive whatever the result. https://t.co/TUW7beveWb",,No,0,2
TruePatriot #MAGA,RespectOurFlag2,"Proud to be an American #Free  Proudly support the Military & #BlueLivesMatter
#IStandWithIsreal 
Trump is my President",1366,1342,Tue Nov 08 23:59:59 +0000 2016,RT @WDFx2EU8: WIDESPREAD VOTER FRAUD: Philadelphia Democrats Pass Out Pro-Hillary Brochures At Polling Sites (VIDEO) https://t.co/7w2LzjPIYc,,Yes,462,0
S,suleikamenaa,sc & ig: @suleikamena,845,347,Tue Nov 08 23:59:59 +0000 2016,RT @J4CKMULL: Hillary Clinton really did the #MannequinChallenge on #ElectionDay https://t.co/DxtJuf0zG0,"Kissimmee, FL",Yes,13981,0
#MakesPastorRICH,Tiph_Seven,"Current Events. Politics. Randomness. Defcon 3 Beygency Div.  Whoa kimosabi, Market Research is my hobby.",537,841,Tue Nov 08 23:59:59 +0000 2016,"Hillary got to come out to ""Get on your feet"" one time for @parksandrecnbc #ClintonKnope",DC/Maryland/Virginia ,No,0,1
Sherry Misner,sherrymisner,,97,188,Tue Nov 08 23:59:59 +0000 2016,"RT @dawg_lb: Hillary R Clinton,

YOU SHOULD NEVER BE ABLE TO LOOK AT YOURSELF IN THE MIRROR!!!!!!!

VOTE AS FAST AS YOU CAN!!!!!!!!!!

TRUM",,Yes,19,0
Isaiah ,Isaiah1337,wus good ma,3990,299,Tue Nov 08 23:59:59 +0000 2016,RT @BandzUpDee: Vote Hillary Clinton idc if she a liar y'all boyfriends lie to y'all everyday and y'all still fw them so VOTE HILLARY BITCH,michigan,Yes,45672,0
Jetty Wap,parettijacob,,637,350,Tue Nov 08 23:59:59 +0000 2016,RT @REALBrianStreng: Joke is on Hillary if she wins the election because that means she has to sit at the desk Monica was under,,Yes,1152,0
y,BrooklynPowers,731865----University of Tennessee'19Jesus is a volunteer. Galatians 1:4 In love with my best friend @RobetC55,788,779,Tue Nov 08 23:59:59 +0000 2016,Just saw a tweet that said how can you be a female and whole heartily support trump? Well how can you be an American and support Hillary,"Knoxville, TN",No,2,15
Nikola Kosanovi,nicholas51,"Attorney at Law (ex-Judge, ex-DJ). Fiat Justitia! Nikola Kosanovi  (Radakovi-Zrni-Mamula-trbac).        .",5701,5153,Tue Nov 08 23:59:59 +0000 2016,"RT @newsmax: With 1% of the vote in for Kentucky, Trump is holding a steady lead over Hillary Clinton. #ElectionNight #myvote2016 https://t", ,Yes,156,0
shelbEy h,shelbghughes,I am so made that I cannot believe.  una  aries snap//someotters  ,1426,608,Tue Nov 08 23:59:59 +0000 2016,"RT @whytruy: *casts vote for Hillary* 
Hillary: Thank you for your vot-
Me: https://t.co/EjvxMWZD2c",the animal shelter,Yes,37043,0
Trump  President,_SAVE_AMERICA, #THANKYOUAMERICA    #UNITY #STONGERTOGETHER #AND #MAGA #GodBlessAmerica #OneNationUnderGod #GodBlessTumpPresidency  #GodBlessTrump #STOPSoros #AmericaFirst,32329,30172,Tue Nov 08 23:59:59 +0000 2016,RT @WayneDupreeShow:  Huckabee: Hillary Has No Empathy For The Working Class https://t.co/NEEjhHx6Zy #DrainTheSwamp #TrumpTrain https://t.,United States,Yes,507,0
Jvais frapper Moffat,feltonewt,Green Day own my ass,3336,2014,Tue Nov 08 23:59:59 +0000 2016,RT @souljaboy: I hope Hillary win fuck trump stupid ass,In Thranduil's eyebrows,Yes,39419,0
lars wants to die,blurrygambino,a lot of people want to::.::a lot of people do,26,136,Tue Nov 08 23:59:59 +0000 2016,When you realize that we're screwed if trump or Hillary wins the election https://t.co/5ULRBFJVIR,Void,No,0,0
Bridget Dougherty,andBridget,go eags,638,491,Tue Nov 08 23:59:59 +0000 2016,RT @BandzUpDee: Vote Hillary Clinton idc if she a liar y'all boyfriends lie to y'all everyday and y'all still fw them so VOTE HILLARY BITCH,"Cheney, WA",Yes,45672,0
BluJayva,blujayva,"A great empire, like a great cake, is most easily diminished at the edges.
--Ben Franklin",20,83,Tue Nov 08 23:59:59 +0000 2016,"RT @JudicialWatch: Hillary and many of her top aides treated the court process with contempt.
View our Weekly Update here.
https://t.co/qjW",,Yes,178,0
CoCo,courtalexandra_,snapchat; court_alexxx,480,560,Tue Nov 08 23:59:59 +0000 2016,"RT @JuiceTha56: Will Hillary make pants suits mandatory? 

Will Trump build a wall on Mexicos border? 

Find out tomorrow on the season fin",,Yes,125833,0
Ally,itssallymarie,I wanna be the one you remember  7/27/16 SLFL DETROIT  Mentally and physically in love with Calum Hood XI.VIII.XVI ,347,516,Tue Nov 08 23:59:59 +0000 2016,RT @AfroGumOfficiaI: Hillary Clinton doing the #MannequinChallenge on #ElectionDay  https://t.co/fGOnNfYXWQ,SLFL Auburn Hills,Yes,6740,0
F R A N C O I S,Franny_Tpk,The Connector | Management: @itskamaiyah | IG: francois_tpk | Snap: CoolstoryFranny | TheWilmoreGroup,1901,786,Tue Nov 08 23:59:59 +0000 2016,I'm not saying there is a better option than Hillary...but do you guys know why you are voting for her? Just curious, LA doe ,No,2,0
Drizzy,_Kareem12,,1018,679,Tue Nov 08 23:59:59 +0000 2016,RT @BangYaBrainsOut: if Hillary wins I'll PayPal everyone $100 that RTs this.,,Yes,33979,0
,yanesque,Papersnow..a ghost!!!,478,460,Tue Nov 08 23:59:59 +0000 2016,RT @sassytbh: Rihanna wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  https://t.co/bqMEchufZd,Singapore,Yes,482,0
Fran Tastic,4peaks94,,139,109,Tue Nov 08 23:59:59 +0000 2016,"RT @mitchellvii: Based upon exits, voters very unhappy with big money corruption.  That's bad for Hillary.",,Yes,1074,0
Dr. Thomas Paul,DrThomasPaul,"Past Life Therapy Center Founder/Therapist with #PastLivesTherapy Author, Dr. M. Netherton. http://t.co/UKKDen8aNC http://t.co/qtVNKmzpvl #pastliferegression",56154,55841,Tue Nov 08 23:59:59 +0000 2016,"RT @DrThomasPaul: .@HillarysAmerica is one of division, crime, #pharma &amp; riots.It's good for corrupt #BigBusiness.#gmo #Hillary #Trump
http",Los Angeles.Worldwide.Skype,Yes,74,0
K2,_KFrye,Cool like a yeti eating frozen spaghetti  #GoGators #RiseUp,534,456,Tue Nov 08 23:59:59 +0000 2016,RT @EvanFoerster: @_KFrye u like hillary?,Peach State,Yes,1,0
Ereka Armstead,erekaarmstead,Austin Ragusin,136,238,Tue Nov 08 23:59:59 +0000 2016,RT @rebel2187: Donald and Hillary made an appearance in US Gov today  https://t.co/zOJflct4WM,,Yes,23443,0
Thib,thiboteirlinck,,357,236,Tue Nov 08 23:59:59 +0000 2016,RT @DaiIyRap: Hillary Clinton doing the Mannequin Challenge https://t.co/yZXFZ1hNrn,,Yes,1461,0
